date,trust,dept,beds,patients,source_file,nurses_min_needed
2024-12-01,Alder Hey Children's NHS Foundation Trust,G&A Adult,0,0,Dec 2024 Beds Sitrep Data.csv,0
2025-01-01,Alder Hey Children's NHS Foundation Trust,G&A Adult,0,0,Beds Sitrep Data Jan 2025.csv,0
2025-02-01,Alder Hey Children's NHS Foundation Trust,G&A Adult,0,0,Beds Sitrep Data Feb 2025.csv,0
2025-03-01,Alder Hey Children's NHS Foundation Trust,G&A Adult,0,0,Beds Situation Report March 2025.csv,0
2024-12-01,Alder Hey Children's NHS Foundation Trust,G&A Paediatric,206,158,Dec 2024 Beds Sitrep Data.csv,40
2025-01-01,Alder Hey Children's NHS Foundation Trust,G&A Paediatric,203,161,Beds Sitrep Data Jan 2025.csv,41
2025-02-01,Alder Hey Children's NHS Foundation Trust,G&A Paediatric,203,173,Beds Sitrep Data Feb 2025.csv,44
2025-03-01,Alder Hey Children's NHS Foundation Trust,G&A Paediatric,203,170,Beds Situation Report March 2025.csv,43
2024-12-01,Ashford and St Peter's Hospitals NHS Foundation Trust,Critical Care Adult,11,9,Dec 2024 Beds Sitrep Data.csv,5
2025-01-01,Ashford and St Peter's Hospitals NHS Foundation Trust,Critical Care Adult,11,10,Beds Sitrep Data Jan 2025.csv,5
2025-02-01,Ashford and St Peter's Hospitals NHS Foundation Trust,Critical Care Adult,11,10,Beds Sitrep Data Feb 2025.csv,5
2025-03-01,Ashford and St Peter's Hospitals NHS Foundation Trust,Critical Care Adult,11,10,Beds Situation Report March 2025.csv,5
2024-12-01,Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Adult,421,399,Dec 2024 Beds Sitrep Data.csv,80
2025-01-01,Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Adult,432,413,Beds Sitrep Data Jan 2025.csv,83
2025-02-01,Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Adult,436,415,Beds Sitrep Data Feb 2025.csv,83
2025-03-01,Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Adult,438,415,Beds Situation Report March 2025.csv,83
2024-12-01,Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Paediatric,20,17,Dec 2024 Beds Sitrep Data.csv,5
2025-01-01,Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Paediatric,20,13,Beds Sitrep Data Jan 2025.csv,4
2025-02-01,Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Paediatric,20,14,Beds Sitrep Data Feb 2025.csv,4
2025-03-01,Ashford and St Peter's Hospitals NHS Foundation Trust,G&A Paediatric,20,15,Beds Situation Report March 2025.csv,4
2024-10-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Critical Care Adult,47,38,October 2024 Beds Sitrep Data.csv,19
2024-11-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Critical Care Adult,56,49,Beds Sitrep Data Nov 2024.csv,25
2024-10-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",G&A Adult,785,739,October 2024 Beds Sitrep Data.csv,148
2024-11-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",G&A Adult,934,870,Beds Sitrep Data Nov 2024.csv,174
2024-10-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",G&A Paediatric,30,26,October 2024 Beds Sitrep Data.csv,7
2024-11-01,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",G&A Paediatric,38,35,Beds Sitrep Data Nov 2024.csv,9
2024-10-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Critical Care Adult,25,19,October 2024 Beds Sitrep Data.csv,10
2024-11-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Critical Care Adult,25,18,Beds Sitrep Data Nov 2024.csv,9
2024-10-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,G&A Adult,441,421,October 2024 Beds Sitrep Data.csv,85
2024-11-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,G&A Adult,457,441,Beds Sitrep Data Nov 2024.csv,89
2024-10-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,G&A Paediatric,8,6,October 2024 Beds Sitrep Data.csv,2
2024-11-01,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,G&A Paediatric,8,7,Beds Sitrep Data Nov 2024.csv,2
2024-10-01,BARTS HEALTH NHS TRUST,Critical Care Adult,114,105,October 2024 Beds Sitrep Data.csv,53
2024-11-01,BARTS HEALTH NHS TRUST,Critical Care Adult,113,104,Beds Sitrep Data Nov 2024.csv,52
2024-10-01,BARTS HEALTH NHS TRUST,G&A Adult,1513,1422,October 2024 Beds Sitrep Data.csv,285
2024-11-01,BARTS HEALTH NHS TRUST,G&A Adult,1515,1420,Beds Sitrep Data Nov 2024.csv,284
2024-10-01,BARTS HEALTH NHS TRUST,G&A Paediatric,155,125,October 2024 Beds Sitrep Data.csv,32
2024-11-01,BARTS HEALTH NHS TRUST,G&A Paediatric,153,131,Beds Sitrep Data Nov 2024.csv,33
2024-10-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Critical Care Adult,26,14,October 2024 Beds Sitrep Data.csv,7
2024-11-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Critical Care Adult,26,13,Beds Sitrep Data Nov 2024.csv,7
2024-10-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,G&A Adult,977,956,October 2024 Beds Sitrep Data.csv,192
2024-11-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,G&A Adult,972,946,Beds Sitrep Data Nov 2024.csv,190
2024-10-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,G&A Paediatric,96,86,October 2024 Beds Sitrep Data.csv,22
2024-11-01,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,G&A Paediatric,98,83,Beds Sitrep Data Nov 2024.csv,21
2024-10-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Critical Care Adult,0,0,October 2024 Beds Sitrep Data.csv,0
2024-11-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Critical Care Adult,0,0,Beds Sitrep Data Nov 2024.csv,0
2024-10-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,G&A Adult,24,15,October 2024 Beds Sitrep Data.csv,3
2024-11-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,G&A Adult,24,17,Beds Sitrep Data Nov 2024.csv,4
2024-10-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,G&A Paediatric,258,218,October 2024 Beds Sitrep Data.csv,55
2024-11-01,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,G&A Paediatric,265,226,Beds Sitrep Data Nov 2024.csv,57
2024-10-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Critical Care Adult,34,26,October 2024 Beds Sitrep Data.csv,13
2024-11-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Critical Care Adult,34,28,Beds Sitrep Data Nov 2024.csv,14
2024-10-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,G&A Adult,727,705,October 2024 Beds Sitrep Data.csv,141
2024-11-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,G&A Adult,728,703,Beds Sitrep Data Nov 2024.csv,141
2024-10-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,G&A Paediatric,44,17,October 2024 Beds Sitrep Data.csv,5
2024-11-01,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,G&A Paediatric,44,21,Beds Sitrep Data Nov 2024.csv,6
2024-10-01,BOLTON NHS FOUNDATION TRUST,Critical Care Adult,18,13,October 2024 Beds Sitrep Data.csv,7
2024-11-01,BOLTON NHS FOUNDATION TRUST,Critical Care Adult,18,14,Beds Sitrep Data Nov 2024.csv,7
2024-10-01,BOLTON NHS FOUNDATION TRUST,G&A Adult,529,504,October 2024 Beds Sitrep Data.csv,101
2024-11-01,BOLTON NHS FOUNDATION TRUST,G&A Adult,536,513,Beds Sitrep Data Nov 2024.csv,103
2024-10-01,BOLTON NHS FOUNDATION TRUST,G&A Paediatric,59,38,October 2024 Beds Sitrep Data.csv,10
2024-11-01,BOLTON NHS FOUNDATION TRUST,G&A Paediatric,59,48,Beds Sitrep Data Nov 2024.csv,12
2024-10-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Critical Care Adult,15,12,October 2024 Beds Sitrep Data.csv,6
2024-11-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Critical Care Adult,15,13,Beds Sitrep Data Nov 2024.csv,7
2024-10-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,G&A Adult,568,528,October 2024 Beds Sitrep Data.csv,106
2024-11-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,G&A Adult,569,534,Beds Sitrep Data Nov 2024.csv,107
2024-10-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,G&A Paediatric,44,31,October 2024 Beds Sitrep Data.csv,8
2024-11-01,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,G&A Paediatric,44,36,Beds Sitrep Data Nov 2024.csv,9
2024-10-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Critical Care Adult,18,13,October 2024 Beds Sitrep Data.csv,7
2024-11-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Critical Care Adult,18,15,Beds Sitrep Data Nov 2024.csv,8
2024-10-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,G&A Adult,410,391,October 2024 Beds Sitrep Data.csv,79
2024-11-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,G&A Adult,416,393,Beds Sitrep Data Nov 2024.csv,79
2024-10-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,G&A Paediatric,40,30,October 2024 Beds Sitrep Data.csv,8
2024-11-01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,G&A Paediatric,40,32,Beds Sitrep Data Nov 2024.csv,8
2024-12-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",Critical Care Adult,52,45,Dec 2024 Beds Sitrep Data.csv,23
2025-01-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",Critical Care Adult,54,50,Beds Sitrep Data Jan 2025.csv,25
2025-02-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",Critical Care Adult,55,47,Beds Sitrep Data Feb 2025.csv,24
2025-03-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",Critical Care Adult,57,47,Beds Situation Report March 2025.csv,24
2024-12-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Adult,890,828,Dec 2024 Beds Sitrep Data.csv,166
2025-01-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Adult,909,853,Beds Sitrep Data Jan 2025.csv,171
2025-02-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Adult,963,904,Beds Sitrep Data Feb 2025.csv,181
2025-03-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Adult,992,921,Beds Situation Report March 2025.csv,185
2024-12-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Paediatric,35,33,Dec 2024 Beds Sitrep Data.csv,9
2025-01-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Paediatric,36,31,Beds Sitrep Data Jan 2025.csv,8
2025-02-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Paediatric,38,35,Beds Sitrep Data Feb 2025.csv,9
2025-03-01,"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A Paediatric,39,33,Beds Situation Report March 2025.csv,9
2024-12-01,Barnsley Hospital NHS Foundation Trust,Critical Care Adult,25,17,Dec 2024 Beds Sitrep Data.csv,9
2025-01-01,Barnsley Hospital NHS Foundation Trust,Critical Care Adult,25,19,Beds Sitrep Data Jan 2025.csv,10
2025-02-01,Barnsley Hospital NHS Foundation Trust,Critical Care Adult,25,18,Beds Sitrep Data Feb 2025.csv,9
2025-03-01,Barnsley Hospital NHS Foundation Trust,Critical Care Adult,25,18,Beds Situation Report March 2025.csv,9
2024-12-01,Barnsley Hospital NHS Foundation Trust,G&A Adult,471,455,Dec 2024 Beds Sitrep Data.csv,91
2025-01-01,Barnsley Hospital NHS Foundation Trust,G&A Adult,477,468,Beds Sitrep Data Jan 2025.csv,94
2025-02-01,Barnsley Hospital NHS Foundation Trust,G&A Adult,469,450,Beds Sitrep Data Feb 2025.csv,90
2025-03-01,Barnsley Hospital NHS Foundation Trust,G&A Adult,469,442,Beds Situation Report March 2025.csv,89
2024-12-01,Barnsley Hospital NHS Foundation Trust,G&A Paediatric,8,5,Dec 2024 Beds Sitrep Data.csv,2
2025-01-01,Barnsley Hospital NHS Foundation Trust,G&A Paediatric,8,4,Beds Sitrep Data Jan 2025.csv,1
2025-02-01,Barnsley Hospital NHS Foundation Trust,G&A Paediatric,8,6,Beds Sitrep Data Feb 2025.csv,2
2025-03-01,Barnsley Hospital NHS Foundation Trust,G&A Paediatric,8,5,Beds Situation Report March 2025.csv,2
2024-12-01,Barts Health NHS Trust,Critical Care Adult,113,102,Dec 2024 Beds Sitrep Data.csv,51
2025-01-01,Barts Health NHS Trust,Critical Care Adult,115,107,Beds Sitrep Data Jan 2025.csv,54
2025-02-01,Barts Health NHS Trust,Critical Care Adult,116,106,Beds Sitrep Data Feb 2025.csv,53
2025-03-01,Barts Health NHS Trust,Critical Care Adult,112,104,Beds Situation Report March 2025.csv,52
2024-12-01,Barts Health NHS Trust,G&A Adult,1518,1376,Dec 2024 Beds Sitrep Data.csv,276
2025-01-01,Barts Health NHS Trust,G&A Adult,1551,1408,Beds Sitrep Data Jan 2025.csv,282
2025-02-01,Barts Health NHS Trust,G&A Adult,1541,1402,Beds Sitrep Data Feb 2025.csv,281
2025-03-01,Barts Health NHS Trust,G&A Adult,1527,1385,Beds Situation Report March 2025.csv,277
2024-12-01,Barts Health NHS Trust,G&A Paediatric,162,130,Dec 2024 Beds Sitrep Data.csv,33
2025-01-01,Barts Health NHS Trust,G&A Paediatric,162,117,Beds Sitrep Data Jan 2025.csv,30
2025-02-01,Barts Health NHS Trust,G&A Paediatric,163,120,Beds Sitrep Data Feb 2025.csv,30
2025-03-01,Barts Health NHS Trust,G&A Paediatric,161,126,Beds Situation Report March 2025.csv,32
2024-12-01,Bedfordshire Hospitals NHS Foundation Trust,Critical Care Adult,26,17,Dec 2024 Beds Sitrep Data.csv,9
2025-01-01,Bedfordshire Hospitals NHS Foundation Trust,Critical Care Adult,26,16,Beds Sitrep Data Jan 2025.csv,8
2025-02-01,Bedfordshire Hospitals NHS Foundation Trust,Critical Care Adult,26,16,Beds Sitrep Data Feb 2025.csv,8
2025-03-01,Bedfordshire Hospitals NHS Foundation Trust,Critical Care Adult,26,17,Beds Situation Report March 2025.csv,9
2024-12-01,Bedfordshire Hospitals NHS Foundation Trust,G&A Adult,975,943,Dec 2024 Beds Sitrep Data.csv,189
2025-01-01,Bedfordshire Hospitals NHS Foundation Trust,G&A Adult,998,969,Beds Sitrep Data Jan 2025.csv,194
2025-02-01,Bedfordshire Hospitals NHS Foundation Trust,G&A Adult,983,955,Beds Sitrep Data Feb 2025.csv,191
2025-03-01,Bedfordshire Hospitals NHS Foundation Trust,G&A Adult,980,948,Beds Situation Report March 2025.csv,190
2024-12-01,Bedfordshire Hospitals NHS Foundation Trust,G&A Paediatric,98,79,Dec 2024 Beds Sitrep Data.csv,20
2025-01-01,Bedfordshire Hospitals NHS Foundation Trust,G&A Paediatric,98,73,Beds Sitrep Data Jan 2025.csv,19
2025-02-01,Bedfordshire Hospitals NHS Foundation Trust,G&A Paediatric,98,77,Beds Sitrep Data Feb 2025.csv,20
2025-03-01,Bedfordshire Hospitals NHS Foundation Trust,G&A Paediatric,96,75,Beds Situation Report March 2025.csv,19
2024-12-01,Birmingham Women's and Children's NHS Foundation Trust,Critical Care Adult,0,0,Dec 2024 Beds Sitrep Data.csv,0
2025-01-01,Birmingham Women's and Children's NHS Foundation Trust,Critical Care Adult,0,0,Beds Sitrep Data Jan 2025.csv,0
2025-02-01,Birmingham Women's and Children's NHS Foundation Trust,Critical Care Adult,0,0,Beds Sitrep Data Feb 2025.csv,0
2025-03-01,Birmingham Women's and Children's NHS Foundation Trust,Critical Care Adult,0,0,Beds Situation Report March 2025.csv,0
2024-12-01,Birmingham Women's and Children's NHS Foundation Trust,G&A Adult,24,14,Dec 2024 Beds Sitrep Data.csv,3
2025-01-01,Birmingham Women's and Children's NHS Foundation Trust,G&A Adult,24,16,Beds Sitrep Data Jan 2025.csv,4
2025-02-01,Birmingham Women's and Children's NHS Foundation Trust,G&A Adult,24,18,Beds Sitrep Data Feb 2025.csv,4
2025-03-01,Birmingham Women's and Children's NHS Foundation Trust,G&A Adult,24,18,Beds Situation Report March 2025.csv,4
2024-12-01,Birmingham Women's and Children's NHS Foundation Trust,G&A Paediatric,263,212,Dec 2024 Beds Sitrep Data.csv,53
2025-01-01,Birmingham Women's and Children's NHS Foundation Trust,G&A Paediatric,263,215,Beds Sitrep Data Jan 2025.csv,54
2025-02-01,Birmingham Women's and Children's NHS Foundation Trust,G&A Paediatric,261,213,Beds Sitrep Data Feb 2025.csv,54
2025-03-01,Birmingham Women's and Children's NHS Foundation Trust,G&A Paediatric,255,193,Beds Situation Report March 2025.csv,49
2024-12-01,Blackpool Teaching Hospitals NHS Foundation Trust,Critical Care Adult,34,26,Dec 2024 Beds Sitrep Data.csv,13
2025-01-01,Blackpool Teaching Hospitals NHS Foundation Trust,Critical Care Adult,34,29,Beds Sitrep Data Jan 2025.csv,15
2025-02-01,Blackpool Teaching Hospitals NHS Foundation Trust,Critical Care Adult,34,25,Beds Sitrep Data Feb 2025.csv,13
2025-03-01,Blackpool Teaching Hospitals NHS Foundation Trust,Critical Care Adult,34,25,Beds Situation Report March 2025.csv,13
2024-12-01,Blackpool Teaching Hospitals NHS Foundation Trust,G&A Adult,732,708,Dec 2024 Beds Sitrep Data.csv,142
2025-01-01,Blackpool Teaching Hospitals NHS Foundation Trust,G&A Adult,740,718,Beds Sitrep Data Jan 2025.csv,144
2025-02-01,Blackpool Teaching Hospitals NHS Foundation Trust,G&A Adult,729,706,Beds Sitrep Data Feb 2025.csv,142
2025-03-01,Blackpool Teaching Hospitals NHS Foundation Trust,G&A Adult,725,692,Beds Situation Report March 2025.csv,139
2024-12-01,Blackpool Teaching Hospitals NHS Foundation Trust,G&A Paediatric,44,19,Dec 2024 Beds Sitrep Data.csv,5
2025-01-01,Blackpool Teaching Hospitals NHS Foundation Trust,G&A Paediatric,44,24,Beds Sitrep Data Jan 2025.csv,6
2025-02-01,Blackpool Teaching Hospitals NHS Foundation Trust,G&A Paediatric,44,19,Beds Sitrep Data Feb 2025.csv,5
2025-03-01,Blackpool Teaching Hospitals NHS Foundation Trust,G&A Paediatric,44,20,Beds Situation Report March 2025.csv,5
2024-12-01,Bolton NHS Foundation Trust,Critical Care Adult,18,14,Dec 2024 Beds Sitrep Data.csv,7
2025-01-01,Bolton NHS Foundation Trust,Critical Care Adult,18,13,Beds Sitrep Data Jan 2025.csv,7
2025-02-01,Bolton NHS Foundation Trust,Critical Care Adult,18,13,Beds Sitrep Data Feb 2025.csv,7
2025-03-01,Bolton NHS Foundation Trust,Critical Care Adult,18,12,Beds Situation Report March 2025.csv,6
2024-12-01,Bolton NHS Foundation Trust,G&A Adult,536,508,Dec 2024 Beds Sitrep Data.csv,102
2025-01-01,Bolton NHS Foundation Trust,G&A Adult,559,530,Beds Sitrep Data Jan 2025.csv,106
2025-02-01,Bolton NHS Foundation Trust,G&A Adult,548,516,Beds Sitrep Data Feb 2025.csv,104
2025-03-01,Bolton NHS Foundation Trust,G&A Adult,551,518,Beds Situation Report March 2025.csv,104
2024-12-01,Bolton NHS Foundation Trust,G&A Paediatric,58,41,Dec 2024 Beds Sitrep Data.csv,11
2025-01-01,Bolton NHS Foundation Trust,G&A Paediatric,59,37,Beds Sitrep Data Jan 2025.csv,10
2025-02-01,Bolton NHS Foundation Trust,G&A Paediatric,58,36,Beds Sitrep Data Feb 2025.csv,9
2025-03-01,Bolton NHS Foundation Trust,G&A Paediatric,60,40,Beds Situation Report March 2025.csv,10
2024-12-01,Bradford Teaching Hospitals NHS Foundation Trust,Critical Care Adult,14,12,Dec 2024 Beds Sitrep Data.csv,6
2025-01-01,Bradford Teaching Hospitals NHS Foundation Trust,Critical Care Adult,15,12,Beds Sitrep Data Jan 2025.csv,6
2025-02-01,Bradford Teaching Hospitals NHS Foundation Trust,Critical Care Adult,14,13,Beds Sitrep Data Feb 2025.csv,7
2025-03-01,Bradford Teaching Hospitals NHS Foundation Trust,Critical Care Adult,15,13,Beds Situation Report March 2025.csv,7
2024-12-01,Bradford Teaching Hospitals NHS Foundation Trust,G&A Adult,577,520,Dec 2024 Beds Sitrep Data.csv,104
2025-01-01,Bradford Teaching Hospitals NHS Foundation Trust,G&A Adult,577,529,Beds Sitrep Data Jan 2025.csv,106
2025-02-01,Bradford Teaching Hospitals NHS Foundation Trust,G&A Adult,575,529,Beds Sitrep Data Feb 2025.csv,106
2025-03-01,Bradford Teaching Hospitals NHS Foundation Trust,G&A Adult,576,527,Beds Situation Report March 2025.csv,106
2024-12-01,Bradford Teaching Hospitals NHS Foundation Trust,G&A Paediatric,44,38,Dec 2024 Beds Sitrep Data.csv,10
2025-01-01,Bradford Teaching Hospitals NHS Foundation Trust,G&A Paediatric,44,29,Beds Sitrep Data Jan 2025.csv,8
2025-02-01,Bradford Teaching Hospitals NHS Foundation Trust,G&A Paediatric,44,31,Beds Sitrep Data Feb 2025.csv,8
2025-03-01,Bradford Teaching Hospitals NHS Foundation Trust,G&A Paediatric,44,31,Beds Situation Report March 2025.csv,8
2024-12-01,Buckinghamshire Healthcare NHS Trust,Critical Care Adult,18,13,Dec 2024 Beds Sitrep Data.csv,7
2025-01-01,Buckinghamshire Healthcare NHS Trust,Critical Care Adult,18,13,Beds Sitrep Data Jan 2025.csv,7
2025-02-01,Buckinghamshire Healthcare NHS Trust,Critical Care Adult,18,13,Beds Sitrep Data Feb 2025.csv,7
2025-03-01,Buckinghamshire Healthcare NHS Trust,Critical Care Adult,18,14,Beds Situation Report March 2025.csv,7
2024-12-01,Buckinghamshire Healthcare NHS Trust,G&A Adult,417,386,Dec 2024 Beds Sitrep Data.csv,78
2025-01-01,Buckinghamshire Healthcare NHS Trust,G&A Adult,436,416,Beds Sitrep Data Jan 2025.csv,84
2025-02-01,Buckinghamshire Healthcare NHS Trust,G&A Adult,441,420,Beds Sitrep Data Feb 2025.csv,84
2025-03-01,Buckinghamshire Healthcare NHS Trust,G&A Adult,415,393,Beds Situation Report March 2025.csv,79
2024-12-01,Buckinghamshire Healthcare NHS Trust,G&A Paediatric,40,27,Dec 2024 Beds Sitrep Data.csv,7
2025-01-01,Buckinghamshire Healthcare NHS Trust,G&A Paediatric,35,21,Beds Sitrep Data Jan 2025.csv,6
